,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Brighton,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Huddersfield,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Brighton,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Huddersfield,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
212,2018-01-20,0,2.1,3.47,4.23,0.476,0.288,0.236,43.03,46.54,20,21,4,3,22,18,47,39,74,66,129,44,57,59,6.65,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
213,2018-01-20,1,2.37,3.7,4.0,0.422,0.27,0.25,44.13,48.3,25,21,11,8,27,23,35,35,75,87,115,61,40,76,6.74,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2018-01-21,1,5.75,4.14,1.86,0.174,0.242,0.538,53.71,66.25,20,41,3,13,21,44,32,21,74,131,184,85,68,113,6.68,6.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
215,2018-01-22,0,12.0,5.87,1.35,0.083,0.17,0.741,48.31,61.95,16,46,4,13,13,53,33,27,43,149,139,80,55,105,6.55,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
216,2018-01-30,2,12.0,5.75,1.4,0.083,0.174,0.714,49.89,61.95,21,46,2,12,18,53,41,28,69,153,153,80,59,111,6.56,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217,2018-01-30,0,7.5,4.62,1.55,0.133,0.216,0.645,50.57,63.45,19,39,7,8,14,44,33,31,45,147,147,60,55,114,6.58,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2018-01-30,1,3.1,3.32,2.65,0.323,0.301,0.377,42.43,48.36,26,25,9,7,28,22,36,36,79,89,129,84,42,88,6.74,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2018-01-31,2,1.37,6.5,12.0,0.73,0.154,0.083,52.76,48.3,47,22,11,9,42,24,15,36,143,90,162,61,101,76,7.02,6.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2018-01-31,0,3.11,3.2,2.9,0.322,0.312,0.345,44.14,45.93,25,31,2,7,25,33,39,30,66,80,131,45,57,70,6.64,6.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,2018-01-31,0,1.16,10.0,23.5,0.862,0.1,0.043,60.64,39.03,59,19,10,6,66,17,17,29,161,72,189,60,88,58,7.15,6.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
