,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_West Brom,A_West Ham
117,2014-06-12,1,1.65,4.2,6.13,0.606,0.238,0.163,46.19,42.11,17,12,9,4,13,15,19,20,52,47,67,35,45,45,6.75,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2014-07-12,0,2.51,3.4,3.3,0.398,0.294,0.303,40.85,43.89,15,10,6,1,8,12,16,20,28,40,63,42,30,35,6.66,6.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,2014-07-12,0,2.43,3.43,3.25,0.412,0.292,0.308,45.09,52.87,18,18,8,8,20,15,17,12,56,42,88,32,54,20,6.87,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,2014-08-12,2,2.9,3.47,2.7,0.345,0.288,0.37,54.96,61.31,20,22,7,12,18,20,9,16,53,55,100,42,41,50,6.93,6.91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,2014-12-13,0,5.55,3.8,1.86,0.18,0.263,0.538,45.83,56.63,11,20,7,4,9,19,21,11,40,57,91,47,41,44,6.69,6.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,2014-12-13,0,1.2,8.0,22.0,0.833,0.125,0.045,50.08,43.83,33,9,11,2,31,12,10,19,79,34,87,34,56,31,7.14,6.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,2014-12-13,1,2.62,3.29,3.16,0.382,0.304,0.316,39.26,56.63,13,14,5,6,15,14,20,18,51,47,85,54,51,56,6.76,6.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,2014-12-13,2,7.1,4.75,1.51,0.141,0.211,0.662,48.98,58.29,10,29,1,15,13,28,22,12,44,77,113,37,36,68,6.75,7.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,2014-12-13,1,3.0,3.41,2.78,0.333,0.293,0.36,45.73,44.18,15,21,4,8,13,23,22,18,43,63,90,30,45,59,6.71,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,2014-12-13,0,2.3,3.4,3.92,0.435,0.294,0.255,45.6,41.17,14,18,4,9,14,10,18,17,45,35,91,28,48,34,6.72,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
