,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Middlesbrough,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Middlesbrough,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
94,2016-10-29,1,1.67,4.22,6.03,0.599,0.237,0.166,53.65,46.68,19,11,11,7,13,11,4,15,54,29,74,22,52,37,7.0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,2016-10-29,0,1.75,3.76,5.6,0.571,0.266,0.179,43.7,43.34,12,7,8,0,13,8,13,22,35,25,49,22,25,16,6.77,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2016-10-29,2,8.0,4.75,1.5,0.125,0.211,0.667,43.15,69.1,10,20,6,8,10,20,10,9,32,53,66,34,22,42,6.69,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,2016-10-30,0,1.88,4.0,4.8,0.532,0.25,0.208,51.18,50.9,15,10,5,7,13,10,8,17,52,26,65,47,31,44,6.94,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,2016-10-30,2,3.3,3.4,2.45,0.303,0.294,0.408,55.75,54.66,13,19,11,9,11,19,8,9,55,54,89,25,40,41,6.83,7.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2016-10-31,0,2.1,3.6,4.17,0.476,0.278,0.24,47.78,47.5,9,5,8,1,9,8,16,15,31,39,63,29,30,20,6.72,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,2016-05-11,2,1.67,4.4,6.0,0.599,0.227,0.167,43.79,42.98,12,2,8,1,12,7,14,20,35,24,59,16,37,34,6.77,6.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,2016-05-11,0,3.6,3.37,2.4,0.278,0.297,0.417,40.07,55.62,11,11,7,4,8,14,13,16,19,45,74,30,24,40,6.77,6.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2016-05-11,0,1.57,4.61,7.4,0.637,0.217,0.135,54.56,51.1,22,18,12,5,21,15,9,8,61,58,84,25,43,38,7.08,6.97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2016-05-11,1,1.23,7.55,15.0,0.813,0.132,0.067,59.59,49.84,23,10,8,5,24,9,9,11,61,26,76,26,51,25,7.04,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
