,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
139,2015-12-12,2,2.9,3.31,2.76,0.345,0.302,0.362,40.75,48.54,9,19,6,9,14,15,29,15,50,51,78,48,45,57,6.67,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,2015-12-12,1,2.65,3.33,3.07,0.377,0.3,0.326,47.04,49.06,20,21,3,9,23,13,21,14,61,46,113,32,43,24,6.84,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,2015-12-13,2,7.0,4.39,1.6,0.143,0.228,0.625,51.27,59.5,6,27,2,8,13,26,28,13,42,82,105,48,46,72,6.76,7.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2015-12-13,1,1.45,4.75,10.0,0.69,0.211,0.1,48.83,40.28,23,19,10,5,18,14,15,19,68,46,97,35,68,29,6.89,6.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,2015-12-14,0,3.52,3.59,2.4,0.284,0.279,0.417,45.71,57.21,29,14,13,4,29,15,21,22,69,58,111,47,52,61,7.0,6.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2015-12-19,0,1.33,5.99,12.0,0.752,0.167,0.083,50.58,43.4,14,9,4,6,16,14,24,30,62,52,110,41,65,46,6.75,6.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,2015-12-19,2,2.1,3.8,3.73,0.476,0.263,0.268,49.18,40.5,23,32,7,13,29,31,21,22,74,74,115,42,56,53,6.92,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
146,2015-12-19,2,1.5,4.85,8.75,0.667,0.206,0.114,54.49,48.86,28,14,8,5,21,16,12,22,51,53,82,56,47,39,6.85,6.63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,2015-12-19,2,2.72,3.44,2.88,0.368,0.291,0.347,53.4,53.69,20,26,4,9,19,25,17,12,72,94,140,34,45,69,6.85,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,2015-12-19,2,2.51,3.3,3.21,0.398,0.303,0.312,45.64,48.35,22,23,10,8,13,16,14,14,49,70,107,41,29,43,6.8,6.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
